
Name,Cuisine/Type,Address,Rating,Dine/Takeout,Image URL,Phone,Website
360 Degrees Café,Various,"White Plains, NY",3.0,Dine-in & Takeout,https://upload.wikimedia.org/wikipedia/commons/3/36/Coffee_shop_bar.jpg,(914) 422-3663,
7-Eleven,Various,"White Plains, NY",4.3,Dine-in & Takeout,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/7-Eleven_store_front_(27116435425).jpg/960px-7-Eleven_store_front_(27116435425).jpg,(914) 683-2520,https://www.7-eleven.com
Alex Lounge Bar & Grill,Various,"White Plains, NY",4.3,Dine-in & Takeout,https://alexloungeny.com/wp-content/uploads/2023/05/alex-lounge-bar-grill.jpg,(914) 358-9227,https://www.alexloungeny.com
Ambadi Kebab & Grill,Various,"White Plains, NY",4.8,Dine-in & Takeout,https://ambadi.us/wp-content/uploads/2020/08/ambadi-grill.jpg,(914) 686-2014,https://ambadi.us
Anthony Deli Mini Market,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Anthony%20Deli%20Mini%20Market,,
Anthony’s Coal Fired Pizza,Various,"White Plains, NY",4.5,Dine-in & Takeout,https://images.squarespace-cdn.com/content/v1/609a9c67b422f3777f645dd5/1620697749117-VHDPD67W56BC1JEQAU44/cover.jpg,(914) 358-9702,https://acfp.com
Archie Grand,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Archie%20Grand,,
Asian Legend,Various,"White Plains, NY",4.3,Dine-in & Takeout,https://asianlegendny.com/wp-content/uploads/2018/10/asianlegend-interior.jpg,(914) 683-6838,https://asianlegendny.com
Auntie Anne’s Pretzels,Various,"White Plains, NY",3.3,Dine-in & Takeout,https://images.ctfassets.net/7dbh05ht03v8/4szWzx6XjKsXEw4Jms18Ip/09e7ca7acc0c4658c065ff2186fa92ae/auntie_annes_pretzel.jpg,(914) 604-1546,https://www.auntieannes.com
The Banh Mi Shop,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20The%20Banh%20Mi%20Shop,,
Barnes & Noble Café,Various,"White Plains, NY",,Dine-in & Takeout,https://source.unsplash.com/featured/?restaurant%20Barnes%20%26%20Noble%20Caf%C3%A9,,
